instance,solver,run,nvertices,nedges,nA,nB,nvars,ncons,state,time,nodes,nodesLeft,lb,ub,gap,ninfeas,ninfeasPrepro,ninfeasCheck,ninfeasAux,nint,ngcp,gcpTime,nsol,nsolHeur,nsolLR,ntrivial,bestTime,bestIter,rootlb,rootub,rootHeurTime,rootFeasTime,rootNCalls,rootNCallsPool,rootNCallsHeur,rootNCallsMwis1,rootNCallsMwis2,rootNCallsExact,rootNCols,rootNColsPool,rootNColsHeur,rootNColsMwis1,rootNColsMwis2,rootNColsExact,rootTime,rootTimePool,rootTimeHeur,rootTimeMwis1,rootTimeMwis2,rootTimeExact,otherNodesHeurTime,otherNodesFeasNCalls,otherNodesFeasTime,otherNodesNCalls,otherNodesNCallsPool,otherNodesNCallsHeur,otherNodesNCallsMwis1,otherNodesNCallsMwis2,otherNodesNCallsExact,otherNodesNCols,otherNodesNColsPool,otherNodesNColsHeur,otherNodesNColsMwis1,otherNodesNColsMwis2,otherNodesNColsExact,otherNodesTime,otherNodesTimePool,otherNodesTimeHeur,otherNodesTimeMwis1,otherNodesTimeMwis2,otherNodesTimeExact
r_n100_p0.25_nA20_nB20_i0,heur_greedy2s_v2,0,100,1186,20,20,-1,-1,FEASIBLE,0.00165002,0,0,-1.0,3.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00164973,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.75_nA15_nB15_i2,heur_greedy2s_v2,0,150,8450,15,15,-1,-1,FEASIBLE,0.00349744,0,0,-1.0,6.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00349723,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.25_nA15_nB15_i2,heur_greedy2s_v2,0,150,2737,15,15,-1,-1,FEASIBLE,0.00131071,0,0,-1.0,2.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00131056,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.75_nA15_nB30_i1,heur_greedy2s_v2,0,150,8396,15,30,-1,-1,FEASIBLE,0.0049582,0,0,-1.0,5.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.004958,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.5_nA15_nB30_i2,heur_greedy2s_v2,0,150,5571,15,30,-1,-1,FEASIBLE,0.00389431,0,0,-1.0,4.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00389396,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.75_nA15_nB15_i1,heur_greedy2s_v2,0,150,8391,15,15,-1,-1,FEASIBLE,0.00348962,0,0,-1.0,6.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00348851,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n100_p0.75_nA10_nB20_i2,heur_greedy2s_v2,0,100,3726,10,20,-1,-1,FEASIBLE,0.00102725,0,0,-1.0,4.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00102714,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n100_p0.5_nA20_nB10_i2,heur_greedy2s_v2,0,100,2426,20,10,-1,-1,FEASIBLE,0.00179589,0,0,-1.0,7.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00179561,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n150_p0.75_nA15_nB15_i0,heur_greedy2s_v2,0,150,8339,15,15,-1,-1,FEASIBLE,0.00374889,0,0,-1.0,6.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00374859,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r_n100_p0.75_nA20_nB10_i2,heur_greedy2s_v2,0,100,3690,20,10,-1,-1,FEASIBLE,0.00165445,0,0,-1.0,8.0,-1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.00165413,0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
